datetime,y
2021/4/12,4876
2021/4/13,5632
2021/4/14,4371
2021/4/15,4196
2021/4/16,4872
2021/4/17,6358
2021/4/18,3002
2021/4/19,6495
2021/4/20,5600
2021/4/21,3693
2021/4/22,512
2021/4/23,1186
2021/4/24,5636
2021/4/25,7110
2021/4/26,6224
2021/4/27,3659
2021/4/28,3965
2021/4/29,2692
2021/4/30,3881
2021/5/1,2440
2021/5/2,7251
2021/5/3,5085
2021/5/4,4880
2021/5/5,5616
2021/5/6,4027
2021/5/7,4429
2021/5/8,6104
2021/5/9,985
2021/5/10,1008
2021/5/11,3710
2021/5/12,5894
2021/5/13,4345
2021/5/14,5780
2021/5/15,5025
2021/5/16,6972
2021/5/17,4915
2021/5/18,4458
2021/5/19,4046
2021/5/20,3444
2021/5/21,3614
2021/5/22,5597
2021/5/23,4294
2021/5/24,4665
2021/5/25,6214
2021/5/26,0
2021/5/27,0
2021/5/28,0
2021/5/29,0
2021/5/30,0
2021/5/31,7175
2021/6/1,3267
2021/6/2,5126
2021/6/3,2188
2021/6/4,4301
2021/6/5,4613
2021/6/6,8937
2021/6/7,8193
2021/6/8,1935
2021/6/9,7050
2021/6/10,1936
2021/6/11,4548
2021/6/12,5811
2021/6/13,5624
2021/6/14,6806
2021/6/15,3570
2021/6/16,6478
2021/6/17,1710
2021/6/18,7141
2021/6/19,7801
2021/6/20,5897
2021/6/21,11841
2021/6/22,7226
2021/6/23,8020
2021/6/24,1486
2021/6/25,4984
2021/6/26,5275
2021/6/27,8985
2021/6/28,8529
2021/6/29,3429
2021/6/30,1450
2021/7/1,4123
2021/7/2,5910
2021/7/3,7297
2021/7/4,6596
2021/7/5,7205
2021/7/6,5125
2021/7/7,7100
2021/7/8,3299
2021/7/9,3424
2021/7/10,4698
2021/7/11,6097
2021/7/12,6389
2021/7/13,7191
2021/7/14,5706
2021/7/15,3628
2021/7/16,6359
2021/7/17,7336
2021/7/18,5887
2021/7/19,3401
2021/7/20,0
2021/7/21,0
2021/7/22,0
2021/7/23,0
2021/7/24,0
2021/7/25,9628
2021/7/26,7665
2021/7/27,6243
2021/7/28,6049
2021/7/29,3102
2021/7/30,5553
2021/7/31,7313
2021/8/1,7043
2021/8/2,7253
2021/8/3,5548
2021/8/4,8060
2021/8/5,2456
2021/8/6,6661
2021/8/7,7541
2021/8/8,6680
2021/8/9,7529
2021/8/10,7088
2021/8/11,5014
2021/8/12,5709
2021/8/13,5793
2021/8/14,10232
2021/8/15,7356
2021/8/16,5601
2021/8/17,7089
2021/8/18,4888
2021/8/19,6160
2021/8/20,7626
2021/8/21,9574
2021/8/22,6853
2021/8/23,9143
2021/8/24,8272
2021/8/25,3664
2021/8/26,5049
2021/8/27,7464
2021/8/28,1859
2021/8/29,10506
2021/8/30,7986
2021/8/31,6355
2021/9/1,5995
2021/9/2,9921
2021/9/3,6561
2021/9/4,6903
2021/9/5,8358
2021/9/6,3897
2021/9/7,7202
2021/9/8,2744
2021/9/9,4778
2021/9/10,7317
2021/9/11,5763
2021/9/12,9527
2021/9/13,9440
2021/9/14,7695
2021/9/15,4888
2021/9/16,4230
2021/9/17,7269
2021/9/18,4047
2021/9/19,7380
2021/9/20,7761
2021/9/21,7843
2021/9/22,7672
2021/9/23,6953
2021/9/24,10116
2021/9/25,4203
2021/9/26,8856
2021/9/27,9451
2021/9/28,3881
2021/9/29,6281
2021/9/30,5377
2021/10/1,6290
2021/10/2,7463
2021/10/3,7573
2021/10/4,8592
2021/10/5,2595
2021/10/6,5214
2021/10/7,9182
2021/10/8,6128
2021/10/9,5721
2021/10/10,6979
2021/10/11,7722
2021/10/12,3191
2021/10/13,5363
2021/10/14,0
2021/10/15,7746
2021/10/16,7060
2021/10/17,6831
2021/10/18,6734
2021/10/19,4140
2021/10/20,4874
2021/10/21,4660
2021/10/22,4604
2021/10/23,6310
2021/10/24,6225
2021/10/25,5439
2021/10/26,5046
2021/10/27,6820
2021/10/28,6592
2021/10/29,1909
2021/10/30,9456
2021/10/31,9034
2021/11/1,6144
2021/11/2,3417
2021/11/3,7084
2021/11/4,2463
2021/11/5,6213
2021/11/6,6629
2021/11/7,6115
2021/11/8,4556
2021/11/9,1962
2021/11/10,8046
2021/11/11,4721
2021/11/12,3632
2021/11/13,5598
2021/11/14,8191
2021/11/15,5751
2021/11/16,4672
2021/11/17,4332
2021/11/18,8359
2021/11/19,3528
2021/11/20,6310
2021/11/21,5306
2021/11/22,1172
2021/11/23,2359
2021/11/24,4242
2021/11/25,7685
2021/11/26,5964
2021/11/27,5318
2021/11/28,7290
2021/11/29,6964
2021/11/30,2537
2021/12/1,4826
2021/12/2,5348
2021/12/3,6193
2021/12/4,9147
2021/12/5,9495
2021/12/6,5907
2021/12/7,6054
2021/12/8,2810
2021/12/9,5948
2021/12/10,4479
2021/12/11,4876
2021/12/12,8772
2021/12/13,3675
2021/12/14,5274
2021/12/15,6503
2021/12/16,1341
2021/12/17,6542
2021/12/18,5264
2021/12/19,5009
2021/12/20,7050
2021/12/21,5331
2021/12/22,0
2021/12/23,5581
2021/12/24,5778
2021/12/25,8092
2021/12/26,6743
2021/12/27,5884
2021/12/28,6529
2021/12/29,5458
2021/12/30,4442
2021/12/31,3439
2022/1/1,6720
2022/1/2,6545
2022/1/3,9226
2022/1/4,7909
2022/1/5,3176
2022/1/6,3840
2022/1/7,5224
2022/1/8,2725
2022/1/9,6153
2022/1/10,6057
2022/1/11,2836
2022/1/12,4392
2022/1/13,2549
2022/1/14,4395
2022/1/15,0
2022/1/16,0
2022/1/17,0
2022/1/18,5486
2022/1/19,5789
2022/1/20,5554
2022/1/21,1411
2022/1/22,3986
2022/1/23,1131
2022/1/24,3141
2022/1/25,5387
2022/1/26,4239
2022/1/27,2049
2022/1/28,4386
2022/1/29,3333
2022/1/30,4467
2022/1/31,5679
2022/2/1,3160
2022/2/2,4340
2022/2/3,3807
2022/2/4,5215
2022/2/5,4549
2022/2/6,4052
2022/2/7,6216
2022/2/8,2501
2022/2/9,3022
2022/2/10,3879
2022/2/11,2584
2022/2/12,1778
2022/2/13,4228
2022/2/14,3074
2022/2/15,2720
2022/2/16,2946
2022/2/17,3557
2022/2/18,3796
2022/2/19,3947
2022/2/20,3972
2022/2/21,5665
2022/2/22,1301
2022/2/23,2374
2022/2/24,3042
2022/2/25,5049
2022/2/26,2457
2022/2/27,4994
2022/2/28,6319
2022/3/1,5478
2022/3/2,4488
2022/3/3,2519
2022/3/4,2301
2022/3/5,7050
2022/3/6,4774
2022/3/7,1898
2022/3/8,2976
2022/3/9,3761
2022/3/10,3117
2022/3/11,5163
2022/3/12,8291
2022/3/13,1634
2022/3/14,3468
2022/3/15,387
2022/3/16,6069
2022/3/17,4764
2022/3/18,3610
2022/3/19,6851
2022/3/20,5832
2022/3/21,5131
2022/3/22,8440
2022/3/23,6517
2022/3/24,4494
2022/3/25,8375
2022/3/26,9110
2022/3/27,8500
2022/3/28,4438
2022/3/29,4016
2022/3/30,4748
2022/3/31,5612
2022/4/1,3600
2022/4/2,6551
2022/4/3,7875
2022/4/4,2181
2022/4/5,9115
2022/4/6,5340
2022/4/7,1996
2022/4/8,3982
2022/4/9,3986
2022/4/10,4302
2022/4/11,4183
2022/4/12,3404
2022/4/13,3238
2022/4/14,5907
2022/4/15,2338
2022/4/16,4555
2022/4/17,11002
2022/4/18,2604
2022/4/19,4457
2022/4/20,5147
2022/4/21,2748
2022/4/22,3372
2022/4/23,6295
2022/4/24,11002
2022/4/25,4027
2022/4/26,5314
2022/4/27,3591
2022/4/28,4309
2022/4/29,3265
2022/4/30,4973
2022/5/1,10025
2022/5/2,6159
2022/5/3,4689
2022/5/4,5369
2022/5/5,6944
2022/5/6,5345
2022/5/7,11100
2022/5/8,6217
2022/5/9,5493
2022/5/10,2509
2022/5/11,3314
2022/5/12,3222
2022/5/13,4163
2022/5/14,5591
2022/5/15,15942
2022/5/16,3250
2022/5/17,4828
2022/5/18,3102
2022/5/19,5595
2022/5/20,5753
2022/5/21,5411
2022/5/22,8773
2022/5/23,3636
2022/5/24,4405
2022/5/25,3991
2022/5/26,6076
2022/5/27,5857
2022/5/28,6254
2022/5/29,8785
2022/5/30,5295
2022/5/31,4248
2022/6/1,3208
2022/6/2,6883
2022/6/3,3499
2022/6/4,5645
2022/6/5,10948
2022/6/6,4234
2022/6/7,5376
2022/6/8,4563
2022/6/9,4667
2022/6/10,3601
2022/6/11,4522
2022/6/12,9393
2022/6/13,4036
2022/6/14,3719
2022/6/15,7394
2022/6/16,4770
2022/6/17,4455
2022/6/18,1558
2022/6/19,12484
2022/6/20,5124
2022/6/21,3091
2022/6/22,4605
2022/6/23,2707
2022/6/24,3881
2022/6/25,3538
2022/6/26,11020
2022/6/27,4750
2022/6/28,3763
2022/6/29,3519
2022/6/30,3021
2022/7/1,4110
2022/7/2,0
2022/7/3,16657
2022/7/4,4547
2022/7/5,3216
2022/7/6,3352
2022/7/7,4951
2022/7/8,3360
2022/7/9,7162
2022/7/10,9810
2022/7/11,3325
2022/7/12,5635
2022/7/13,5001
2022/7/14,4601
2022/7/15,5479
2022/7/16,9354
2022/7/17,0
2022/7/18,7496
2022/7/19,6877
2022/7/20,5834
2022/7/21,10222
2022/7/22,1634
2022/7/23,5923
2022/7/24,6933
